sha256,bytes,canonical_path,selected_source,selected_source_path,source_copy_count
6acbe834ea530ef4fb2ff7bb687b6087200e39869ebfc2a5d87ce66e96155863,2441584,episodes/EP02_Passwords_and_Password_Managers/04_still_images/02_B05C_You_Do_Not_Need_A_Better_Memory.png,new,episodes/EP02_Passwords_and_Password_Managers/04_still_images/02_B05C_You_Do_Not_Need_A_Better_Memory.png,1
6aeef1b88a34360e4a94fb9c56c245c618332f34fe02b6bc6d01e3ebe275b3fb,1164390,clips/library/at-lib-07.mp4,repo,clips/library/at-lib-07.mp4,3
6c0d6335a281f41434c357e5fc7e6c541848a75fbc57550524b55d2a09748e98,2294869,episodes/EP02_Passwords_and_Password_Managers/04_still_images/ep02_let_Me_Ask.png,new,episodes/EP02_Passwords_and_Password_Managers/04_still_images/ep02_let_Me_Ask.png,3
6c0fb78a5faaa1f5e08089d97f65cfebf8193293dd98ed0ca4eac365f0ed0657,2826860,episodes/EP02_Passwords_and_Password_Managers/04_still_images/ep02_at_leaving_with_keys.png,new,episodes/EP02_Passwords_and_Password_Managers/04_still_images/ep02_at_leaving_with_keys.png,1
6ceb255b1c9edd56cbca818259597903a08b03255ce1342baf20efbfeb1e1cc6,340863168,renders/ep01_truth_explains_instagram_9x16.mp4,repo,renders/ep01_truth_explains_instagram_9x16.mp4,2
6e8c9c2d862e8eed75c92f7070a96f00e8bd0978d66860101a767c894b281416,2674015,campaigns/instagram-carousel/carousel_05_pause_is_power.png,repo,Instagram Carousel/carousel_05_pause_is_power.png,2
6f3da02242ff445aba5d5837dd945eef9cbf6d0873ec3d073d6da4d24c368682,5053962,audio/paulyudin-background-music-478744.mp3,repo,audio/paulyudin-background-music-478744.mp3,2
6f6879e5c68ca83602a59b2dbe5b23e015555b7e7ef74998869dc868f5c478b0,1773617,episodes/EP02_Passwords_and_Password_Managers/04_still_images/E02_B05A_Every_Door_Its_Own_Key.png,new,episodes/EP02_Passwords_and_Password_Managers/04_still_images/E02_B05A_Every_Door_Its_Own_Key.png,1
6fb52e65b9ad58381b019fd3657cd54c85f9eae697f7b636c0da361ca3880577,764148,campaigns/Campaign 01 - The Pause Is the Power/Assets/Images/campaign01_digital_life_substack_social_1200x630.png,repo,Campaigns/Campaign 01 - The Pause Is the Power /Assets/Images/campaign01_digital_life_substack_social_1200x630.png,2
705edba0c0cf45229d34c0f399ba841837bde31b5c97e90a1b2eb3102713b9c0,9906345,legacy-projects/remotion/clips/Extras/hackera.mp4,legacy,remotion/public/clips/Extras/hackera.mp4,1
715281c301773e0c1778d2bc51958fb8c391c6c4ab833bda79f392e6edff54e3,2058730,episodes/EP02_Passwords_and_Password_Managers/04_still_images/ep02_scene02_same_key_many_doors_16x9.png,new,episodes/EP02_Passwords_and_Password_Managers/04_still_images/ep02_scene02_same_key_many_doors_16x9.png,2
734f3a9a9fd1f6273a897f0f40621b4e610a4ec6c5628f1f1902b1ff42e75676,410092,clips/ep01/ep01-s3b-fishing.jpg,repo,clips/ep01/ep01-s3b-fishing.jpg,2
